"_iterations","baselearner","train_risk"
468,"exang_source_tensor",0.516085211021917
469,"cp_source_tensor",0.516029134302816
470,"exang_source_tensor",0.51597330199549
471,"cp_source_tensor",0.515917520941987
472,"exang_source_tensor",0.515861964936658
473,"exang_source_tensor",0.515806585375413
474,"cp_source_tensor",0.515751196451837
475,"exang_source_tensor",0.515696090720425
476,"cp_source_tensor",0.515640993163329
477,"exang_source_tensor",0.515586159691065
478,"sex_one-hot",0.515481554817254
479,"oldpeak_spline",0.515404501268317
480,"cp_source_tensor",0.515349807799532
481,"exang_source_tensor",0.515295398965558
482,"thalach_spline",0.515212235493542
483,"cp_source_tensor",0.515157934037682
484,"exang_source_tensor",0.515103912372701
485,"cp_source_tensor",0.51504989567167
486,"exang_source_tensor",0.51499614006099
487,"cp_source_tensor",0.514942406371312
488,"exang_source_tensor",0.514888915291916
489,"cp_source_tensor",0.514835462881256
490,"exang_source_tensor",0.51478223481947
491,"cp_source_tensor",0.514729061966573
492,"exang_source_tensor",0.514676095418007
493,"exang_source_tensor",0.514623296394269
494,"cp_source_tensor",0.514570493886993
495,"oldpeak_spline",0.514496389782144
496,"cp_source_tensor",0.514443803117452
497,"exang_source_tensor",0.51439143766269
498,"sex_one-hot",0.514291682767497
499,"exang_source_tensor",0.514239544313086
500,"cp_source_tensor",0.514187397179552
501,"exang_source_tensor",0.514135514159574
502,"cp_source_tensor",0.514083638565142
503,"exang_source_tensor",0.514032009521233
504,"thalach_spline",0.513953609337236
505,"cp_source_tensor",0.513902099237701
506,"exang_source_tensor",0.513850830325504
507,"cp_source_tensor",0.513799587883939
508,"exang_source_tensor",0.513748569421513
509,"cp_source_tensor",0.513697593004275
510,"oldpeak_spline",0.513626187661947
511,"exang_source_tensor",0.513575496234921
512,"cp_source_tensor",0.513524813963565
513,"exang_source_tensor",0.513474369754431
514,"cp_source_tensor",0.513423950048956
515,"exang_source_tensor",0.513373751649779
516,"cp_source_tensor",0.513323592909452
517,"exang_source_tensor",0.513273638920977
518,"sex_one-hot",0.513178485092023
519,"exang_source_tensor",0.513128745150438
520,"cp_source_tensor",0.513079000730383
521,"trestbps_spline",0.513010057374288
522,"exang_source_tensor",0.512960567501116
523,"cp_source_tensor",0.512911073606209
524,"exang_source_tensor",0.51286182421403
525,"cp_source_tensor",0.512812585677925
